tract_geoid,microtype,datetime,utc_offset,interval_minutes,cnt_tmcs,V1_aggflow_plph,V1_aggdensity_plpm,V1_aggspeed_mph,V5_aggflow_plph,V5_aggdensity_plpm,V5_aggspeed_mph,,,,,V1_aggflow_plph,V5_aggflow_plph,,,sum,,total vehicles ,,avg total vehicles
13001950100,6,9/1/2019 0:00,-04:00,15,11,4.4416,0.0715,62.08,17.8356,0.2872,62.11,,,,,307732.042,394698.7222,,,702430.7642,,175607.6911,,1929.754847
13001950100,6,9/1/2019 0:15,-04:00,15,11,7.7756,0.1202,64.68,25.177,0.3891,64.7,,,,,,,,,,,,,
13001950100,6,9/1/2019 0:30,-04:00,15,11,7.4005,0.1133,65.34,23.9602,0.3666,65.36,,,,,,,,,,,,,
13001950100,6,9/1/2019 0:45,-04:00,15,11,1.0401,0.0166,62.72,6.0027,0.0955,62.85,,,,,,,,,,,,,
13001950100,6,9/1/2019 1:00,-04:00,15,11,1.8203,0.0286,63.55,11.9398,0.1879,63.55,,,,,,,,,,,,,
13001950100,6,9/1/2019 1:15,-04:00,15,11,5.9675,0.1028,58.03,39.0404,0.6725,58.05,,,,,,,,,,,,,
13001950100,6,9/1/2019 1:30,-04:00,15,11,0.9932,0.016,62.05,5.9281,0.0954,62.11,,,,,,,,,,,,,
13001950100,6,9/1/2019 1:45,-04:00,15,11,0.0509,0.0009,54.68,0.0617,0.0011,54.68,,,,,,,,,,,,,
13001950100,6,9/1/2019 2:00,-04:00,15,11,0,0,,0,0,,,,,,,,,,,,,,
13001950100,6,9/1/2019 2:15,-04:00,15,11,6.9241,0.1144,60.52,27.1432,0.4502,60.3,,,,,,,,,,,,,
13001950100,6,9/1/2019 2:30,-04:00,15,11,2.0298,0.0322,63.08,3.6434,0.0578,63.08,,,,,,,,,,,,,
13001950100,6,9/1/2019 2:45,-04:00,15,11,3.1248,0.0509,61.34,21.5215,0.3508,61.34,,,,,,,,,,,,,
13001950100,6,9/1/2019 3:00,-04:00,15,11,0,0,,0,0,,,,,,,,,,,,,,
13001950100,6,9/1/2019 3:15,-04:00,15,11,1.3765,0.0215,63.88,3.0484,0.0477,63.88,,,,,,,,,,,,,
13001950100,6,9/1/2019 3:30,-04:00,15,11,2.4783,0.0394,62.87,17.0691,0.2715,62.87,,,,,,,,,,,,,
13001950100,6,9/1/2019 3:45,-04:00,15,11,0,0,,0,0,,,,,,,,,,,,,,
13001950100,6,9/1/2019 4:00,-04:00,15,11,0.2998,0.0055,54.5,0.4052,0.0074,54.5,,,,,,,,,,,,,
13001950100,6,9/1/2019 4:15,-04:00,15,11,8.0663,0.1549,52.09,50.9926,0.98,52.03,,,,,,,,,,,,,
13001950100,6,9/1/2019 4:30,-04:00,15,11,2.3153,0.0383,60.4,12.7456,0.2108,60.46,,,,,,,,,,,,,
13001950100,6,9/1/2019 4:45,-04:00,15,11,0.2998,0.0055,54.5,0.4052,0.0074,54.5,,,,,,,,,,,,,
13001950100,6,9/1/2019 5:00,-04:00,15,11,11.0059,0.193,57.04,15.4558,0.2676,57.76,,,,,,,,,,,,,
13001950100,6,9/1/2019 5:15,-04:00,15,11,16.8838,0.2957,57.09,37.7268,0.6451,58.48,,,,,,,,,,,,,
13001950100,6,9/1/2019 5:30,-04:00,15,11,8.873,0.1625,54.6,11.851,0.2168,54.67,,,,,,,,,,,,,
13001950100,6,9/1/2019 5:45,-04:00,15,11,13.7779,0.2438,56.52,22.6313,0.3912,57.85,,,,,,,,,,,,,
